"index","collection","packageId","granuleId","title","detailsLink","pdfLink","pdfSize","htmlLink","htmlSize","xmlLink","xmlSize","otherLink1","other1Size","otherLink2","other2Size","teaser","historical","publishdate"
"11","Congressional Committee Prints","CPRT-106JPRT54320","CPRT-106JPRT54320","Legislation on Foreign Relations Through 1998","https://www.govinfo.gov/app/details/CPRT-106JPRT54320/CPRT-106JPRT54320","https://www.govinfo.gov/content/pkg/CPRT-106JPRT54320/pdf/CPRT-106JPRT54320.pdf","2.3 MB","https://www.govinfo.gov/content/pkg/CPRT-106JPRT54320/html/CPRT-106JPRT54320.htm","3.2 MB","","0 B","","0 B","","0 B"," MARCH 1999 VOLUME I-A OF VOLUMES I-A AND I-B CURRENT LEGISLATION AND RELATED EXECUTIVE ORDERS U.S. House of Representatives U.S. Senate Printed for the use of the Committees on International Relations and Foreign Relations of the House of Representatives and the Senate respectively U.S. GOVERNMENT PRINTING OFFICE WASHINGTON : 1999 54-320 CC For ...","","1999-03-01"
"12","Congressional Committee Prints","CPRT-85SPRT33641","CPRT-85SPRT33641","Legislation on foreign relations.","https://www.govinfo.gov/app/details/CPRT-85SPRT33641/CPRT-85SPRT33641","https://www.govinfo.gov/content/pkg/CPRT-85SPRT33641/pdf/CPRT-85SPRT33641.pdf","214.5 MB","","0 B","","0 B","","0 B","","0 B"," ON FOREIGN RELATIONS UNITED STATES SENATE DECEMBER 1958 Printed for the use of the Committee on Foreign Relations UNITED STATES GOVERNMENT PRINTING OFFICE WASHINGTON : 1959 COMMITTEE ON FOREIGN RELATIONS THEODORE FRANCIS GREEN J. W. FULBRIGHT, Arkansas JOHN SPARKMAN, Alabama HUBERT H. HUMPHREY, Minnesota MIKE MANSFIELD, Montana WAYNE MORSE, ...","","1958-12-01"
"13","Congressional Committee Prints","CPRT-115SPRT34813","CPRT-115SPRT34813","BUSINESS MEETINGS OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE One Hundred Fifteenth Congress Second Session January 3, 2018 to January 3, 2019","https://www.govinfo.gov/app/details/CPRT-115SPRT34813/CPRT-115SPRT34813","https://www.govinfo.gov/content/pkg/CPRT-115SPRT34813/pdf/CPRT-115SPRT34813.pdf","822.8 KB","https://www.govinfo.gov/content/pkg/CPRT-115SPRT34813/html/CPRT-115SPRT34813.htm","497.8 KB","","0 B","","0 B","","0 B"," Fifteenth Congress Second Session January 3, 2018 to January 3, 2019 [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Printed for the use of the Committee on Foreign Relations Available via the World Wide Web: http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 34-813 PDF WASHINGTON : 2019 COMMITTEE ON FOREIGN RELATIONS BOB CORKER, Tennessee, ...","","2018-01-03"
"14","Congressional Committee Prints","CPRT-115SPRT31321","CPRT-115SPRT31321","BUSINESS MEETINGS OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE One Hundred Fifteenth Congress First Session January 3, 2017 to January 3, 2018","https://www.govinfo.gov/app/details/CPRT-115SPRT31321/CPRT-115SPRT31321","https://www.govinfo.gov/content/pkg/CPRT-115SPRT31321/pdf/CPRT-115SPRT31321.pdf","827.3 KB","https://www.govinfo.gov/content/pkg/CPRT-115SPRT31321/html/CPRT-115SPRT31321.htm","577.8 KB","","0 B","","0 B","","0 B"," Fifteenth Congress First Session January 3, 2017 to January 3, 2018 [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.fdsys.gov U.S. GOVERNMENT PUBLISHING OFFICE 31-321 PDF WASHINGTON : 2018 For sale by the Superintendent of Documents, U.S. Government Publishing Office, http://bookstore.gpo.gov. For more ...","","2017-01-03"
"15","Congressional Committee Prints","CPRT-109JPRT98863","CPRT-109JPRT98863","Legislation on Foreign Relations Through 2004","https://www.govinfo.gov/app/details/CPRT-109JPRT98863/CPRT-109JPRT98863","https://www.govinfo.gov/content/pkg/CPRT-109JPRT98863/pdf/CPRT-109JPRT98863.pdf","4.3 MB","https://www.govinfo.gov/content/pkg/CPRT-109JPRT98863/html/CPRT-109JPRT98863.htm","5.5 MB","","0 B","","0 B","","0 B","] TONGRESS.#15 JOINT COMMITTEE PRINT JULY 2005 VOLUME I-B OF VOLUMES I-A AND I-B CURRENT LEGISLATION AND RELATED EXECUTIVE ORDERS U.S. Senate U.S. House of Representatives Legislation on Foreign Relations Through 2004--Volume I-B of Vols. I-A & I-B ? S. Prt. 109-32 COMMITTEE ON FOREIGN RELATIONS COMMITTEE ON INTERNATIONAL RELATIONS Legislation ...","","2005-07-01"
"16","Congressional Committee Prints","CPRT-106JPRT61650","CPRT-106JPRT61650","Legislation on Foreign Relations Through 1999","https://www.govinfo.gov/app/details/CPRT-106JPRT61650/CPRT-106JPRT61650","https://www.govinfo.gov/content/pkg/CPRT-106JPRT61650/pdf/CPRT-106JPRT61650.pdf","3.3 MB","https://www.govinfo.gov/content/pkg/CPRT-106JPRT61650/html/CPRT-106JPRT61650.htm","4.5 MB","","0 B","","0 B","","0 B","[TIFF OMITTED]CONGRESS.#15 APRIL 2000 VOLUME I-B OF VOLUMES I-A AND I-B CURRENT LEGISLATION AND RELATED EXECUTIVE ORDERS U.S. Senate U.S. House of Representatives Printed for the use of the Committees on Foreign Relations and International Relations of the Senate and the House of Representatives respectively U.S. GOVERNMENT PRINTING OFFICE ...","","2000-04-01"
"17","Congressional Committee Prints","CPRT-105SPRT45489","CPRT-105SPRT45489","Legislation on Foreign Relations Through 1997","https://www.govinfo.gov/app/details/CPRT-105SPRT45489/CPRT-105SPRT45489","https://www.govinfo.gov/content/pkg/CPRT-105SPRT45489/pdf/CPRT-105SPRT45489.pdf","2.8 MB","https://www.govinfo.gov/content/pkg/CPRT-105SPRT45489/html/CPRT-105SPRT45489.htm","4.0 MB","","0 B","","0 B","","0 B"," IN THIS FORMAT APRIL 1998 VOLUME I-B OF VOLUMES I-A AND I-B CURRENT LEGISLATION AND RELATED EXECUTIVE ORDERS U.S. Senate U.S. House of Representatives Printed for the use of the Committees on Foreign Relations and International Relations of the Senate and the House of Representatives respectively U.S. GOVERNMENT PRINTING OFFICE WASHINGTON : ...","","1998-04-01"
"18","Congressional Committee Prints","CPRT-94JPRT65998O","CPRT-94JPRT65998O","Legislation on foreign relations with explanatory notes. Committee on International Relations.","https://www.govinfo.gov/app/details/CPRT-94JPRT65998O/CPRT-94JPRT65998O","https://www.govinfo.gov/content/pkg/CPRT-94JPRT65998O/pdf/CPRT-94JPRT65998O.pdf","1.0 GB","","0 B","","0 B","","0 B","","0 B",". HOUSE OF REPRESENTATIVES COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE APRIL 1976 Printed for the use of the Committees on International Relations and Foreign Relations of the House of Representatives and the Senate respectively KANSAS STATE UNfVTRSr W U < RY MANHATTAN 94th Congress 2d Session JOINT COMMITTEE PRINT LEGISLATION ON FOREIGN ...","","1976-04-01"
"19","Congressional Committee Prints","CPRT-117SPRT43443","CPRT-117SPRT43443","RULES OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-117SPRT43443/CPRT-117SPRT43443","https://www.govinfo.gov/content/pkg/CPRT-117SPRT43443/pdf/CPRT-117SPRT43443.pdf","83.5 KB","https://www.govinfo.gov/content/pkg/CPRT-117SPRT43443/html/CPRT-117SPRT43443.htm","41.0 KB","","0 B","","0 B","","0 B"," IN TIFF FORMAT] February 22, 2021 Printed for the use of the Committee on Foreign Relations ______ U.S. GOVERNMENT PUBLISHING OFFICE 43-443 PDF WASHINGTON : 2021 COMMITTEE ON FOREIGN RELATIONS ROBERT MENENDEZ, New Jersey, Chairman BENJAMIN L. CARDIN, Maryland JAMES E. RISCH, Idaho JEANNE SHAHEEN, New Hampshire MARCO RUBIO, Florida ...","","2021-02-22"
"20","Congressional Committee Prints","CPRT-96SPRT53841","CPRT-96SPRT53841","Congressional delegates at the 1978 United Nations General Assembly: a report to the Committee on Foreign Relations, United States Senate.","https://www.govinfo.gov/app/details/CPRT-96SPRT53841/CPRT-96SPRT53841","https://www.govinfo.gov/content/pkg/CPRT-96SPRT53841/pdf/CPRT-96SPRT53841.pdf","18.9 MB","","0 B","","0 B","","0 B","","0 B"," DELEGATES AT THE 1978 UNITED NATIONS GENERAL ASSEMBLY A REPORT TO THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE DECEMBER 1979 Printed for the use of the Committee on Foreign Relations 53-841 U.S. GOVERNMENT PRINTING OFFICE WASHINGTON : 1979 COMMITTEE ON FRANK CHURCH, CLAIBORNE PELL, Rhode Island GEORGE MCGOVERN, South Dakota ...","","1979-12-01"
"21","Congressional Committee Prints","CPRT-114SPRT25478","CPRT-114SPRT25478","BUSINESS MEETINGS OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-114SPRT25478/CPRT-114SPRT25478","https://www.govinfo.gov/content/pkg/CPRT-114SPRT25478/pdf/CPRT-114SPRT25478.pdf","310.9 KB","https://www.govinfo.gov/content/pkg/CPRT-114SPRT25478/html/CPRT-114SPRT25478.htm","358.5 KB","","0 B","","0 B","","0 B"," Fourteenth Congress Second Session January 4, 2016 to January 3, 2017 [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Printed for the use of the Committee on Foreign Relations Available via World Wide Web: http://www.gpoaccess.gov/congress/index.html ______ U.S. GOVERNMENT PUBLISHING OFFICE 25-478 PDF WASHINGTON : 2017 For sale by the Superintendent...","","2016-01-04"
"22","Congressional Committee Prints","CPRT-96JPRT55708OvI","CPRT-96JPRT55708OvI","Legislation on foreign relations through 1979. Volume 1: Current legislation and related executive orders.","https://www.govinfo.gov/app/details/CPRT-96JPRT55708OvI/CPRT-96JPRT55708OvI","https://www.govinfo.gov/content/pkg/CPRT-96JPRT55708OvI/pdf/CPRT-96JPRT55708OvI.pdf","466.4 MB","","0 B","","0 B","","0 B","","0 B"," EXECUTIVE ORDERS VOLUME I U.S. House of Representatives U.S. Senate COMMITTEE ON FOREIGN AFFAIRS COMMITTEE ON FOREIGN RELATIONS Legislation on Foreign Relations Through 1979 i JOINT COMMITTEE PRINT FEBRUARY 1980 CURRENT LEGISLATION AND RELATED EXECUTIVE ORDERS VOLUME I U.S. House of Representatives U.S. Senate Printed for the use of the ...","","1980-02-01"
"23","Congressional Committee Prints","CPRT-111JPRT39710","CPRT-111JPRT39710","Legislation on Foreign Relations Through 2005","https://www.govinfo.gov/app/details/CPRT-111JPRT39710/CPRT-111JPRT39710","https://www.govinfo.gov/content/pkg/CPRT-111JPRT39710/pdf/CPRT-111JPRT39710.pdf","5.2 MB","https://www.govinfo.gov/content/pkg/CPRT-111JPRT39710/html/CPRT-111JPRT39710.htm","7.0 MB","","0 B","","0 B","","0 B"," COMMITTEE PRINT JULY 2009 VOLUME V TREATIES AND RELATED MATERIAL U.S. House of Representatives U.S. Senate Legislation on Foreign Relations Through 2005--Volume V COMMITTEE ON FOREIGN AFFAIRS COMMITTEE ON FOREIGN RELATIONS Legislation on Foreign Relations Through 2005 [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] JULY 2009 VOLUME V TREATIES AND ...","","2009-07-01"
"24","Congressional Committee Prints","CPRT-111JPRT33619","CPRT-111JPRT33619","Legislation on Foreign Relations Through 2005","https://www.govinfo.gov/app/details/CPRT-111JPRT33619/CPRT-111JPRT33619","https://www.govinfo.gov/content/pkg/CPRT-111JPRT33619/pdf/CPRT-111JPRT33619.pdf","3.3 MB","https://www.govinfo.gov/content/pkg/CPRT-111JPRT33619/html/CPRT-111JPRT33619.htm","4.6 MB","","0 B","","0 B","","0 B"," COMMITTEE PRINT JUNE 2009 VOLUME IV CURRENT LEGISLATION AND RELATED EXECUTIVE ORDERS U.S. House of Representatives U.S. Senate Legislation on Foreign Relations Through 2005--Volume IV COMMITTEE ON FOREIGN AFFAIRS COMMITTEE ON FOREIGN RELATIONS Legislation on Foreign Relations Through 2005 [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] JUNE 2009 ...","","2009-06-01"
"25","Congressional Committee Prints","CPRT-95JPRT20818OvII","CPRT-95JPRT20818OvII","Legislation on foreign relations through 1977. Volume II: Current Legislation and Related Executive Orders, Committee on International Relations, Committee on Foreign Relations.","https://www.govinfo.gov/app/details/CPRT-95JPRT20818OvII/CPRT-95JPRT20818OvII","https://www.govinfo.gov/content/pkg/CPRT-95JPRT20818OvII/pdf/CPRT-95JPRT20818OvII.pdf","303.6 MB","","0 B","","0 B","","0 B","","0 B"," CURRENT LEGISLATION AND RELATED EXECUTIVE ORDERS VOLUME II U.S. House of Representatives U.S. Senate COMMITTEE ON INTERNATIONAL RELATIONS COMMITTEE ON FOREIGN RELATIONS Legislation on Foreign Relations Through 1977 JOINT COMMITTEE PRINT FEBRUARY 1978 CURRENT LEGISLATION AND RELATED EXECUTIVE ORDERS VOLUME II U.S. House of Representatives U.S. ...","","1978-02-01"
"26","Congressional Committee Prints","CPRT-106SPRT61649","CPRT-106SPRT61649-VolumeI","Legislation on Foreign Relations Through 1999","https://www.govinfo.gov/app/details/CPRT-106SPRT61649/CPRT-106SPRT61649-VolumeI","https://www.govinfo.gov/content/pkg/CPRT-106SPRT61649/pdf/CPRT-106SPRT61649-VolumeI.pdf","2.3 MB","https://www.govinfo.gov/content/pkg/CPRT-106SPRT61649/html/CPRT-106SPRT61649-VolumeI.htm","3.4 MB","","0 B","","0 B","","0 B","]CONGRESS.#15 MARCH 2000 VOLUME I-A OF VOLUMES I-A AND I-B CURRENT LEGISLATION AND RELATED EXECUTIVE ORDERS U.S. Senate U.S. House of Representatives Printed for the use of the Committees on Foreign Relations and International Relations of the Senate and the House of Representatives respectively U.S. GOVERNMENT PRINTING OFFICE WASHINGTON : 2000 ...","","2000-03-01"
"27","Congressional Committee Prints","CPRT-106SPRT61649","CPRT-106SPRT61649-VolumeI-1","ERRATA] Legislation on Foreign Relations Through 1999","https://www.govinfo.gov/app/details/CPRT-106SPRT61649/CPRT-106SPRT61649-VolumeI-1","https://www.govinfo.gov/content/pkg/CPRT-106SPRT61649/pdf/CPRT-106SPRT61649-VolumeI-1.pdf","231.2 KB","https://www.govinfo.gov/content/pkg/CPRT-106SPRT61649/html/CPRT-106SPRT61649-VolumeI-1.htm","31.7 KB","","0 B","","0 B","","0 B"," [GRAPHIC] [TIFF OMITTED]CONGRESS.#15 JOINT COMMITTEE PRINT MARCH 2000 VOLUME I-A OF VOLUMES I-A AND I-B CURRENT LEGISLATION AND RELATED EXECUTIVE ORDERS U.S. Senate U.S. House of Representatives ERRATA Note.--Section 586 of the Foreign Operations, Export Financing, and Related Programs Appropriations Act, 2000 (H.R. 3422, enacted by reference in ...","","2000-03-01"
"28","Congressional Committee Prints","CPRT-96SPRT68920O","CPRT-96SPRT68920O","NATO--a status report: a report to the Committee on Foreign Relations, United States Senate.","https://www.govinfo.gov/app/details/CPRT-96SPRT68920O/CPRT-96SPRT68920O","https://www.govinfo.gov/content/pkg/CPRT-96SPRT68920O/pdf/CPRT-96SPRT68920O.pdf","13.8 MB","","0 B","","0 B","","0 B","","0 B"," RELATIONS UNITED STATES SENATE co UJ m ru CD ru tr □ CO r OCTOBER 1980 Printed for the use of the Committee on Foreign Relations 68-920 O U.S. GOVERNMENT PRINTING OFFICE WASHINGTON: 1980 COMMITTEE ON FOREIGN RELATIONS FRANK CHURCH, Idaho, Chairman CLAIBORNE PELL, Rhode Island GEORGE MCGOVERN, South Dakota JOSEPH R. BIDEN, Jr., Delaware JOHN ...","","1980-10-01"
"29","Congressional Committee Prints","CPRT-113SPRT78853","CPRT-113SPRT78853","RULES OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-113SPRT78853/CPRT-113SPRT78853","https://www.govinfo.gov/content/pkg/CPRT-113SPRT78853/pdf/CPRT-113SPRT78853.pdf","80.4 KB","https://www.govinfo.gov/content/pkg/CPRT-113SPRT78853/html/CPRT-113SPRT78853.htm","38.4 KB","","0 B","","0 B","","0 B"," for the use of the Committee on Foreign Relations _____ U.S. GOVERNMENT PRINTING OFFICE 78-853 PDF WASHINGTON : 2013 For sale by the Superintendent of Documents, U.S. Government Printing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; DC area (202) 512-1800 Fax: (202) 512-2104 Mail: Stop IDCC, Washington, DC 20402-0001 ...","","2013-02-01"
"30","Congressional Committee Prints","CPRT-93SPRT98662","CPRT-93SPRT98662","Legislative history of the Committee on Foreign Relations, United States Senate, 88th, 89th, and 90th Congresses ...","https://www.govinfo.gov/app/details/CPRT-93SPRT98662/CPRT-93SPRT98662","https://www.govinfo.gov/content/pkg/CPRT-93SPRT98662/pdf/CPRT-93SPRT98662.pdf","99.9 MB","","0 B","","0 B","","0 B","","0 B"," OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE □ cO [T 0"" rA tr □ □ IT 88th, 89th, and 90th Congresses January 9, 1963-October 3, 1964 January 4, 1965-October 22, 1966 January 10, 1967-October 14, 1968 M M JANUARY 1974 Printed for the use of the Committee on Foreign Relations 98-662 U.S. GOVERNMENT PRINTING OFFICE WASHINGTON : ...","","1974-01-01"
"31","Congressional Committee Prints","CPRT-110SPRT33737","CPRT-110SPRT33737","RULES OF THE COMMITTEE ON FOREIGN RELATIONS (Adopted March 6, 2007)","https://www.govinfo.gov/app/details/CPRT-110SPRT33737/CPRT-110SPRT33737","https://www.govinfo.gov/content/pkg/CPRT-110SPRT33737/pdf/CPRT-110SPRT33737.pdf","89.6 KB","https://www.govinfo.gov/content/pkg/CPRT-110SPRT33737/html/CPRT-110SPRT33737.htm","37.2 KB","","0 B","","0 B","","0 B"," Committee on Foreign Relations ______ U.S. GOVERNMENT PRINTING OFFICE 33-737 PDF WASHINGTON : 2007 For sale by Superintendent of Documents, U.S. Government Printing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; DC area (202) 512-1800 Fax: (202) 512-2250. Mail: Stop SSOP, Washington, DC 20402-0001 COMMITTEE ON FOREGIN ...","","2008-01-01"
"32","Congressional Committee Prints","CPRT-88JPRT28349","CPRT-88JPRT28349","Legislation on foreign relations.","https://www.govinfo.gov/app/details/CPRT-88JPRT28349/CPRT-88JPRT28349","https://www.govinfo.gov/content/pkg/CPRT-88JPRT28349/pdf/CPRT-88JPRT28349.pdf","377.8 MB","","0 B","","0 B","","0 B","","0 B"," RELATIONS , UNITED STATES [SENATE COMMITTEE ON FOREIGN AFFAIRS U.S. HOUSE OF REPRESENTATIVES MARCH 1964 Printed for the use of the Committees on Foreign Relations and Foreign Affairs of the Senate and House of Representatives 88th Congress I 2d Session j JOINT COMMITTEE PRINT LEGISLATION ON FOREIGN RELATIONS WITH EXPLANATORY NOTES COMMITTEE ...","","1964-03-01"
